Отметка времени;Как часто Вы переходите на красный свет?;Если Вы переходите на красный, то с чем это связано чаще всего?;Переходите ли Вы на красный, если видите, что другие пешеходы перебегают?;Перешли бы Вы дорогу на красный свет, если бы на дороге не было машин?;Перешли бы Вы дорогу на красный свет, если бы на дороге машины стояли в пробке?;Перейдите ли Вы дорогу, если Вам горит красный, а машины продолжают движение с небольшой скоростью?;Переходите ли Вы на красный сигнал, если у пешеходного перехода плохое освещение?;Переходите ли Вы на красный сигнал на пешеходных переходах, оборудованных кнопкой вызова зеленого?;Как Вы считаете, пойдут ли другие люди на красный при отсутствии машин, если запрещающий сигнал горит слишком долго?;Чувствуете ли Вы себя безопасно, переходя на красный сигнал?;Какое время Вы считаете приемлемым для ожидания зеленого, чтобы не было потребности перехода на красный?;При наличии ожидания, указанного Вами в вопросе выше, будете ли Вы переходить на красный?
5.4.2024 11:02:39;Несколько раз в месяц;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;60 секунд;Думаю, что не буду
5.4.2024 11:59:21;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;70 секунд;Не перехожу на красный
5.4.2024 13:43:16;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Думаю, что не буду
5.4.2024 14:19:09;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Думаю, что не буду
5.4.2024 14:53:50;Несколько раз в год;Красный свет горит слишком долго;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Не перехожу на красный
5.4.2024 15:44:04;Несколько раз в год;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что не буду
5.4.2024 18:15:27;Несколько раз в год;Пустая дорога от ТС;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;чувствую себя безопасно;60 секунд;Думаю, что не буду
5.4.2024 19:22:48;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.4.2024 19:32:34;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;70 секунд;Думаю, что не буду
5.4.2024 20:48:14;Несколько раз в год;Красный свет горит слишком долго;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Думаю, что не буду
5.4.2024 21:46:38;Несколько раз в месяц;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
5.5.2024 0:53:10;Несколько раз в год;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.5.2024 6:10:33;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.5.2024 9:54:11;Несколько раз в неделю;Красный свет горит слишком долго;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;40 секунд;Думаю, что не буду
5.5.2024 9:58:23;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
5.5.2024 10:12:50;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
